gene	a	d
ENSG00000120057	 1715	 2
ENSG00000162409	 1364	 7
ENSG00000243708	 1809	 12
ENSG00000181072	 3423	 39
ENSG00000165995	 1724	 22
ENSG00000178462	 354	 4
ENSG00000105647	 2148	 41
ENSG00000138685	 2346	 47
ENSG00000177519	 573	 10
ENSG00000197565	 269	 4
ENSG00000148408	 138	 1
ENSG00000112175	 312	 6
ENSG00000242616	 1092	 28
ENSG00000153956	 2602	 70
ENSG00000198400	 158	 2
ENSG00000102678	 120	 1
ENSG00000172179	 118	 1
ENSG00000165197	 324	 7
ENSG00000143127	 674	 18
ENSG00000188153	 949	 27
ENSG00000090554	 690	 19
ENSG00000060566	 104	 1
ENSG00000159110	 716	 262
ENSG00000087095	 921	 343
ENSG00000072803	 2227	 824
ENSG00000123612	 335	 128
