a	 d
ENSG00000112280	 21	 15208
ENSG00000148408	 12	 1563
ENSG00000109321	 87	 6257
ENSG00000167244	 7207	 306095
ENSG00000178372	 323	 13169
ENSG00000076716	 1184	 27493
ENSG00000049089	 758	 17253
ENSG00000105664	 1170	 24268
ENSG00000108244	 1076	 21418
ENSG00000172575	 166	 2456
ENSG00000178363	 64	 943
ENSG00000185634	 82	 1160
ENSG00000066468	 1500	 19945
ENSG00000105810	 1310	 16586
ENSG00000139618	 91	 1116
ENSG00000164171	 925	 10602
ENSG00000111186	 250	 2851
ENSG00000136928	 9	 123
ENSG00000169679	 48	 527
ENSG00000112742	 34	 375
ENSG00000134259	 158	 1598
ENSG00000168539	 95	 1013
ENSG00000171848	 81	 815
ENSG00000206075	 581	 5834
ENSG00000171403	 7	 88
ENSG00000158402	 10	 110
ENSG00000155760	 2286	 21170
ENSG00000136492	 68	 641
ENSG00000157456	 53	 487
ENSG00000093009	 35	 326
ENSG00000163235	 237	 2149
ENSG00000145431	 1407	 12364
ENSG00000158050	 401	 3182
ENSG00000094804	 78	 583
ENSG00000072133	 90	 678
ENSG00000077935	 10	 89
ENSG00000164045	 45	 332
ENSG00000184349	 955	 6742
ENSG00000157240	 1743	 12114
ENSG00000139351	 7	 61
ENSG00000168036	 15428	 101911
